Nenad Krstic_1_Brooklyn Nets_0_2004-05,25.7,0.0,2.8,8.1,0.0,0.0,13.4,8.3,20.7,12.3
Matt Harpring_1_Utah Jazz_0_2004-05,10.6,0.0,4.5,12.1,17.8,1.3,15.9,0.0,19.5,10.5
Ryan Humphrey_1_Memphis Grizzlies_0_2004-05,12.4,0.0,0.0,0.0,0.0,0.0,16.5,0.0,23.7,19.6
Joel Przybilla_1_Portland Trail Blazers_0_2004-05,5.7,0.0,3.6,4.5,0.0,0.0,7.4,18.1,38.6,14.3
Brian Cardinal_1_Memphis Grizzlies_0_2004-05,3.8,0.0,11.8,3.6,0.0,0.0,38.3,21.4,6.6,4.7
Eduardo Najera_1_Denver Nuggets_0_2004-05,0.0,0.0,7.6,11.7,0.0,0.0,24.0,8.8,18.1,17.0
Tony Parker_1_San Antonio Spurs_0_2004-05,0.8,26.8,15.3,21.0,4.5,3.0,15.3,0.0,4.4,1.6
Ben Handlogten_1_Utah Jazz_0_2004-05,11.8,0.0,0.0,0.0,0.0,0.0,15.7,0.0,27.5,18.6
Jamal Sampson_1_Charlotte Hornets_0_2004-05,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,19.8,21.0
Jermaine ONeal_1_Indiana Pacers_0_2004-05,52.9,0.0,10.1,2.8,0.0,0.0,10.7,8.6,5.2,4.7
Keith Van Horn_1_Dallas Mavericks_0_2004-05,6.9,0.0,20.4,16.5,0.0,0.0,21.9,10.2,6.0,6.9
Kwame Brown_1_Washington Wizards_0_2004-05,38.2,0.0,10.6,5.8,0.0,0.0,11.8,6.1,8.5,9.4
Marquis Daniels_1_Dallas Mavericks_0_2004-05,7.7,10.3,16.9,20.5,0.0,0.0,18.6,0.0,10.3,6.6
Samuel Dalembert_1_Philadelphia 76ers_0_2004-05,14.6,0.0,6.0,10.4,0.0,0.0,7.5,9.6,29.2,15.4
Travis Outlaw_1_Portland Trail Blazers_0_2004-05,3.8,8.3,15.5,15.9,4.5,4.5,19.0,0.0,12.8,7.6
Matt Barnes_1_Sacramento Kings_0_2004-05,0.0,0.0,10.2,17.6,5.7,0.0,19.9,0.0,18.8,10.2
Melvin Ely_1_Charlotte Hornets_0_2004-05,61.0,0.0,2.4,1.7,0.0,0.0,9.6,3.5,7.8,10.5
DerMarr Johnson_1_Denver Nuggets_0_2004-05,4.3,5.5,11.5,24.8,5.7,0.0,27.4,0.0,10.0,4.1
Amare Stoudemire_1_Phoenix Suns_0_2004-05,19.1,1.1,17.7,16.8,2.6,0.0,6.5,12.5,10.3,8.2
Toni Kukoc_1_Milwaukee Bucks_0_2004-05,21.1,0.0,18.5,6.4,4.0,0.0,27.2,4.7,5.7,0.0
Jake Voskuhl_1_Phoenix Suns_0_2004-05,0.0,0.0,0.0,0.0,0.0,0.0,13.4,22.0,15.9,18.3
Vince Carter_1_Brooklyn Nets_0_2004-05,15.7,10.9,23.5,10.6,9.1,4.8,12.0,0.0,5.2,2.3
Anderson Varejao_1_Cleveland Cavaliers_0_2004-05,11.8,0.0,8.1,12.6,0.0,0.0,17.5,4.9,19.5,15.0
Theo Ratliff_1_Portland Trail Blazers_0_2004-05,9.6,0.0,7.1,4.3,0.0,0.0,21.6,10.3,24.8,14.5
Lorenzen Wright_1_Memphis Grizzlies_0_2004-05,20.6,0.0,5.1,7.6,0.0,0.0,9.1,9.5,18.8,13.4
Gordan Giricek_1_Utah Jazz_0_2004-05,0.0,2.2,10.3,10.0,32.1,1.6,29.4,0.0,7.8,0.0
Josh Howard_1_Dallas Mavericks_0_2004-05,5.3,7.1,12.7,21.6,4.9,1.2,21.9,0.0,10.3,8.3
Jeff Foster_1_Indiana Pacers_0_2004-05,7.5,0.0,0.0,5.4,0.0,0.0,11.1,13.7,25.3,26.1
Antawn Jamison_1_Washington Wizards_0_2004-05,14.0,3.1,13.9,13.8,2.4,0.9,25.8,5.7,6.2,7.5
Dwyane Wade_1_Miami Heat_0_2004-05,5.0,32.6,17.8,15.2,4.4,2.3,6.8,0.0,4.8,3.2
Vladimir Radmanovic_1_Oklahoma City Thunder_0_2004-05,4.2,2.3,13.4,9.4,5.9,0.0,48.5,7.8,3.1,0.0
Jared Jeffries_1_Washington Wizards_0_2004-05,12.7,0.0,11.4,18.6,0.0,0.0,17.6,0.0,11.8,16.5
Marcus Fizer_1_Milwaukee Bucks_0_2004-05,32.8,0.0,14.5,7.4,0.0,0.0,21.4,4.6,6.6,4.8
Dikembe Mutombo_1_Houston Rockets_0_2004-05,23.0,0.0,0.0,0.0,0.0,0.0,5.9,6.3,24.1,31.9
Maurice Taylor_1_New York Knicks_0_2004-05,39.3,0.0,17.4,0.0,0.0,0.0,7.9,10.1,7.9,7.3
Antonio McDyess_1_Detroit Pistons_0_2004-05,40.3,0.0,3.3,8.5,0.0,0.0,14.4,6.8,12.9,7.9
Matt Bonner_1_Toronto Raptors_0_2004-05,6.1,0.0,5.2,7.7,0.0,0.0,45.5,12.0,4.3,11.5
Nazr Mohammed_1_New York Knicks_0_2004-05,33.3,0.0,3.1,6.8,0.0,0.0,4.3,8.7,21.9,16.8
Latrell Sprewell_1_Minnesota Timberwolves_0_2004-05,2.6,12.3,10.8,17.8,14.9,0.0,28.4,0.0,3.1,3.5
Brevin Knight_1_Charlotte Hornets_0_2004-05,0.0,31.5,22.2,14.6,1.7,0.0,19.1,0.0,1.6,0.0
Howard Eisley_1_Utah Jazz_0_2004-05,0.0,27.5,15.5,9.7,11.8,2.5,20.3,0.0,2.3,0.0
Jameer Nelson_1_Orlando Magic_0_2004-05,0.0,21.7,17.5,20.7,5.1,1.4,21.7,0.0,3.6,1.6
Mikki Moore_1_Los Angeles Clippers_0_2004-05,19.1,0.0,8.7,5.9,0.0,0.0,15.6,5.2,19.1,16.0
Josh Childress_1_Atlanta Hawks_0_2004-05,3.5,2.5,10.5,19.5,11.0,0.0,17.2,0.0,14.3,14.9
