PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Gerald Henderson,0.5,0.3,2.5,0.5,1.2,0.44
Mo Williams,0.3,0.1,1.6,0.4,0.7,0.57
Archie Goodwin,0.5,0.2,2.0,0.7,1.2,0.56
Tony Allen,1.7,0.3,3.0,0.8,1.5,0.56
Terrence Jones,0.5,0.8,3.0,2.3,4.4,0.52
Mario Chalmers,1.4,0.2,2.2,0.6,1.0,0.63
Cory Joseph,0.8,0.3,2.1,0.9,2.0,0.46
Tim Duncan,0.8,1.3,5.4,3.3,7.0,0.47
Toney Douglas,1.1,0.1,1.9,0.5,0.9,0.62
Ramon Sessions,0.6,0.1,2.2,0.5,1.0,0.57
Meyers Leonard,0.1,0.3,4.3,2.0,3.9,0.53
Langston Galloway,0.9,0.3,3.0,0.7,1.5,0.49
PJ Tucker,1.3,0.2,4.2,1.1,2.2,0.5
Danny Green,1.0,0.8,3.2,1.2,2.4,0.49
Gorgui Dieng,1.1,1.2,5.2,3.7,7.1,0.53
Derrick Williams,0.4,0.1,3.1,0.5,1.1,0.48
Bobby Portis,0.4,0.4,3.5,2.0,3.7,0.55
Darrell Arthur,0.8,0.7,3.0,2.0,4.1,0.49
Jon Leuer,0.6,0.4,4.4,2.2,4.3,0.51
Carl Landry,0.3,0.3,2.7,2.0,3.3,0.6
Nick Young,0.4,0.1,1.5,0.9,1.4,0.59
Lance Stephenson,0.6,0.1,2.7,0.6,1.0,0.58
Taj Gibson,0.6,1.1,4.1,2.5,5.2,0.48
Aaron Brooks,0.4,0.1,1.2,0.5,0.9,0.58
Nene,0.9,0.5,3.6,2.2,4.4,0.5
Tyler Johnson,0.7,0.4,2.3,0.9,2.0,0.43
Matthew Dellavedova,0.6,0.1,1.7,0.8,1.5,0.5
Corey Brewer,1.0,0.2,1.9,1.0,1.7,0.6
Ben McLemore,0.8,0.1,1.7,0.9,1.6,0.58
E'Twaun Moore,0.6,0.3,1.9,0.8,1.7,0.49
DeAndre Jordan,0.7,2.3,10.3,3.7,8.0,0.46
Jason Smith,0.4,0.9,2.2,2.2,4.2,0.52
Frank Kaminsky,0.5,0.5,3.3,2.3,4.2,0.55
Lance Thomas,0.4,0.1,1.6,0.6,1.3,0.46
Wesley Johnson,1.1,0.7,2.6,1.4,2.6,0.52
Joffrey Lauvergne,0.2,0.3,3.6,1.9,3.6,0.53
Shane Larkin,1.2,0.2,1.9,0.9,1.6,0.55
Josh Smith,0.6,0.9,2.6,1.7,3.8,0.45
Marreese Speights,0.3,0.5,2.3,1.6,3.2,0.49
JaMychal Green,0.6,0.4,3.0,1.2,2.5,0.47
Garrett Temple,0.9,0.2,2.2,0.9,1.8,0.5
