PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Josh Richardson,0.21,0.45,0.15,0.03,0.03,0.0,0.42
Willie Cauley-Stein,0.03,0.06,0.01,0.44,0.47,0.04,0.01
Dante Cunningham,0.1,0.44,0.05,0.1,0.13,0.02,0.43
Tim Hardaway Jr.,0.14,0.42,0.14,0.03,0.03,0.02,0.53
Jason Terry,0.15,0.63,0.14,0.0,0.0,0.02,0.7
Markel Brown,0.15,0.27,0.2,0.07,0.07,0.03,0.38
Raul Neto,0.29,0.32,0.24,0.02,0.02,0.02,0.39
Clint Capela,0.01,0.0,0.0,0.47,0.49,0.06,0.0
Jerian Grant,0.43,0.13,0.2,0.04,0.02,0.04,0.26
Seth Curry,0.16,0.43,0.24,0.03,0.01,0.03,0.5
John Henson,0.01,0.01,0.01,0.56,0.56,0.09,0.0
Tristan Thompson,0.03,0.01,0.01,0.47,0.5,0.06,0.0
Mike Scott,0.05,0.45,0.03,0.18,0.21,0.05,0.42
Metta World Peace,0.24,0.42,0.16,0.04,0.04,0.02,0.48
Boris Diaw,0.17,0.19,0.06,0.19,0.3,0.03,0.18
Roy Hibbert,0.02,0.24,0.05,0.31,0.34,0.08,0.01
Channing Frye,0.03,0.7,0.03,0.08,0.1,0.02,0.69
Thabo Sefolosha,0.13,0.3,0.08,0.19,0.19,0.05,0.34
Festus Ezeli,0.01,0.01,0.01,0.6,0.67,0.03,0.0
Trevor Booker,0.07,0.1,0.02,0.19,0.22,0.1,0.11
Anthony Morrow,0.07,0.57,0.21,0.0,0.02,0.02,0.62
Tyler Zeller,0.05,0.16,0.0,0.36,0.36,0.1,0.0
Shaun Livingston,0.16,0.05,0.38,0.17,0.21,0.05,0.03
Cameron Payne,0.22,0.24,0.42,0.02,0.0,0.0,0.4
Ronnie Price,0.09,0.47,0.25,0.0,0.0,0.0,0.65
Brandon Bass,0.04,0.1,0.03,0.38,0.39,0.08,0.01
Norman Powell,0.23,0.37,0.18,0.04,0.04,0.0,0.38
Larry Nance Jr.,0.07,0.2,0.04,0.24,0.29,0.11,0.03
Rondae Hollis-Jefferson,0.19,0.22,0.1,0.09,0.09,0.07,0.1
Tyson Chandler,0.0,0.01,0.0,0.53,0.53,0.04,0.0
Timofey Mozgov,0.02,0.11,0.02,0.57,0.62,0.05,0.02
Aron Baynes,0.0,0.14,0.02,0.51,0.54,0.08,0.01
Lavoy Allen,0.02,0.2,0.02,0.31,0.35,0.06,0.0
Anthony Tolliver,0.04,0.79,0.0,0.06,0.06,0.02,0.82
Joakim Noah,0.09,0.05,0.0,0.33,0.26,0.09,0.01
Chris McCullough,0.06,0.38,0.13,0.11,0.13,0.09,0.32
Sasha Vujacic,0.06,0.61,0.16,0.0,0.02,0.0,0.52
Beno Udrih,0.19,0.23,0.43,0.02,0.04,0.0,0.22
Jonathon Simmons,0.35,0.17,0.08,0.1,0.08,0.05,0.2
Richaun Holmes,0.04,0.11,0.0,0.32,0.39,0.14,0.2
Troy Daniels,0.04,0.79,0.13,0.0,0.02,0.09,0.65
Marcelo Huertas,0.29,0.11,0.4,0.07,0.09,0.02,0.27
JaKarr Sampson,0.35,0.12,0.06,0.12,0.16,0.06,0.2
Justin Holiday,0.09,0.44,0.16,0.07,0.09,0.02,0.46
Tyus Jones,0.29,0.14,0.33,0.02,0.02,0.02,0.34
Anthony Brown,0.13,0.55,0.18,0.03,0.03,0.0,0.56
Jarell Martin,0.05,0.12,0.04,0.26,0.28,0.05,0.02
Tiago Splitter,0.0,0.02,0.02,0.57,0.64,0.04,0.01
Dwight Powell,0.03,0.17,0.02,0.45,0.45,0.07,0.05
Amar'e Stoudemire,0.0,0.1,0.02,0.43,0.5,0.09,0.0
Kevin Seraphin,0.03,0.23,0.1,0.31,0.33,0.15,0.01
James Johnson,0.35,0.2,0.04,0.08,0.08,0.02,0.28
Richard Jefferson,0.18,0.42,0.13,0.07,0.07,0.04,0.56
Kyle O'Quinn,0.02,0.27,0.08,0.27,0.29,0.15,0.08
CJ Watson,0.26,0.3,0.19,0.02,0.02,0.0,0.35
Steve Blake,0.16,0.41,0.36,0.0,0.02,0.0,0.63
Ryan Kelly,0.12,0.26,0.14,0.1,0.12,0.05,0.25
Thomas Robinson,0.07,0.02,0.02,0.3,0.28,0.07,0.0
Ed Davis,0.03,0.0,0.0,0.38,0.35,0.09,0.0
Tyler Ennis,0.33,0.18,0.24,0.0,0.02,0.0,0.21
Andrew Bogut,0.02,0.02,0.02,0.54,0.57,0.04,0.0
JaVale McGee,0.04,0.06,0.04,0.51,0.53,0.02,0.01
Andre Roberson,0.04,0.27,0.0,0.23,0.25,0.02,0.38
Nemanja Bjelica,0.12,0.39,0.1,0.18,0.18,0.02,0.54
Kendall Marshall,0.27,0.43,0.16,0.03,0.03,0.0,0.41
Miles Plumlee,0.02,0.02,0.02,0.61,0.63,0.04,0.0
Kyle Anderson,0.22,0.13,0.31,0.04,0.07,0.02,0.12
Rashad Vaughn,0.1,0.61,0.16,0.03,0.03,0.03,0.55
Cole Aldrich,0.04,0.0,0.0,0.6,0.53,0.11,0.0
John Jenkins,0.15,0.27,0.32,0.07,0.05,0.1,0.32
Jonas Jerebko,0.11,0.41,0.02,0.18,0.18,0.02,0.38
Shabazz Napier,0.14,0.32,0.35,0.0,0.0,0.0,0.52
Quincy Acy,0.04,0.26,0.02,0.23,0.3,0.04,0.23
Brandon Rush,0.07,0.6,0.14,0.05,0.05,0.0,0.6
Joe Ingles,0.1,0.62,0.19,0.0,0.0,0.02,0.72
Noah Vonleh,0.11,0.25,0.03,0.11,0.19,0.03,0.17
Josh McRoberts,0.19,0.36,0.03,0.11,0.11,0.14,0.33
Solomon Hill,0.14,0.31,0.07,0.14,0.17,0.05,0.35
James Anderson,0.26,0.34,0.11,0.06,0.09,0.0,0.48
Bismack Biyombo,0.0,0.05,0.02,0.49,0.55,0.04,0.0
Alonzo Gee,0.24,0.18,0.02,0.16,0.18,0.0,0.24
Darrun Hilliard,0.2,0.35,0.18,0.05,0.08,0.03,0.38
Drew Gooden,0.07,0.41,0.07,0.11,0.15,0.04,0.4
Willie Reed,0.0,0.06,0.02,0.4,0.43,0.09,0.0
Glenn Robinson,0.11,0.29,0.11,0.18,0.21,0.08,0.25
Kelly Oubre,0.24,0.3,0.0,0.16,0.19,0.03,0.37
Axel Toupane,0.0,0.58,0.03,0.11,0.17,0.0,0.57
Kyle Singler,0.09,0.47,0.06,0.09,0.09,0.03,0.44
Jeff Withey,0.02,0.09,0.0,0.42,0.49,0.07,0.01
Johnny O'Bryant,0.03,0.27,0.1,0.2,0.23,0.07,0.01
Justin Anderson,0.26,0.24,0.16,0.05,0.05,0.03,0.47
Kevin Garnett,0.0,0.44,0.16,0.22,0.25,0.06,0.01
Dewayne Dedmon,0.0,0.07,0.02,0.52,0.52,0.09,0.0
Robert Sacre,0.0,0.23,0.06,0.23,0.26,0.06,0.0
Tayshaun Prince,0.07,0.48,0.14,0.1,0.17,0.03,0.1
Omer Asik,0.03,0.0,0.0,0.6,0.63,0.05,0.0
Kirk Hinrich,0.17,0.3,0.37,0.0,0.0,0.0,0.48
Luc Mbah a Moute,0.1,0.23,0.03,0.26,0.29,0.03,0.19
Chris Johnson,0.14,0.38,0.14,0.07,0.1,0.0,0.51
Tarik Black,0.03,0.03,0.0,0.47,0.53,0.06,0.0
Reggie Bullock,0.06,0.55,0.12,0.06,0.09,0.03,0.54
Andre Miller,0.38,0.03,0.24,0.14,0.19,0.03,0.08
Kostas Papanikolaou,0.08,0.5,0.08,0.12,0.12,0.0,0.49
Sonny Weems,0.12,0.48,0.16,0.04,0.08,0.0,0.38
Pablo Prigioni,0.16,0.32,0.36,0.0,0.0,0.0,0.65
Cristiano Felicio,0.03,0.18,0.0,0.41,0.38,0.18,0.06
Salah Mejri,0.08,0.0,0.0,0.54,0.51,0.11,0.01
Lamar Patterson,0.17,0.38,0.08,0.13,0.13,0.0,0.61
Kendrick Perkins,0.0,0.04,0.04,0.56,0.56,0.16,0.0
Nick Collison,0.1,0.14,0.05,0.24,0.24,0.14,0.02
Sergey Karasev,0.04,0.33,0.17,0.08,0.08,0.04,0.49
