PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Jusuf Nurkic,3.24,0,0,24.48,31.86,3.24,0,11.8,0,15.34
Kevin Martin,14.55,13.07,9.09,0,4.13,28.18,5.28,9.09,16.36,0
Jordan Hill,4.71,4.85,0,19.83,24.11,7.56,0,17.26,0,13.12
Nikola Jokic,5.94,3.54,0,19.47,19.85,10.75,0,15.42,0,13.65
Aaron Gordon,17.45,4.12,5.08,7.01,4.26,0,2.47,12.23,0,14.56
Manu Ginobili,9.76,6.16,23.8,0,0,27.23,7.71,6.85,7.88,0
Nik Stauskas,17.85,4.21,15.53,0,0,38.9,9.29,2.32,6.97,1.6
Wayne Ellington,16.03,2.38,17.78,0,0,31.9,7.14,4.13,14.76,1.59
Gerald Henderson,13.06,8.56,18.17,0,7.81,22.07,7.36,5.26,8.26,2.4
Mo Williams,14.67,4.0,43.2,0,0,18.4,6.93,0,4.27,0
Archie Goodwin,21.26,8.31,25.91,0,0,20.1,5.15,5.65,1.83,3.32
Tony Allen,23.63,4.66,5.16,0,2.5,23.29,3.0,17.3,0,10.98
Terrence Jones,16.7,5.78,0,11.99,7.92,23.34,0,14.78,0,8.78
Mario Chalmers,15.19,5.82,32.61,0,0,16.8,5.98,2.26,2.42,2.26
Cory Joseph,9.4,11.23,46.21,0,0,19.19,3.0,0,1.96,0
Tim Duncan,4.47,0,0,24.23,25.94,5.33,0,18.04,0,8.25
Toney Douglas,17.33,6.86,37.18,0,0,19.49,7.4,3.07,0,0
Ramon Sessions,25.9,3.61,35.06,0,0,17.71,3.49,5.18,3.01,0
Meyers Leonard,6.78,0,0,26.37,5.84,35.4,0,7.16,2.45,4.14
Langston Galloway,22.05,4.76,17.44,0,0,27.95,8.07,5.04,6.05,2.74
PJ Tucker,18.1,3.17,6.61,1.59,8.45,29.46,1.59,7.66,2.11,13.34
Danny Green,20.97,1.82,4.41,0,0,42.71,5.02,4.86,10.49,3.04
Gorgui Dieng,7.24,3.74,0,22.32,15.68,14.23,0,16.89,0,8.81
Derrick Williams,20.59,10.9,5.11,7.4,9.56,21.0,2.69,10.9,4.98,3.77
Bobby Portis,9.69,8.53,0,16.09,16.47,19.38,0,6.01,0,16.67
Darrell Arthur,8.3,2.42,0,20.76,7.96,30.1,0,11.76,2.6,7.79
Jon Leuer,10.62,7.88,0,23.46,7.53,23.63,1.88,8.9,0,8.39
Carl Landry,5.43,5.43,0,17.25,20.45,16.61,0,15.34,0,12.14
Nick Young,14.45,6.99,16.55,0,0,28.9,7.23,0,17.72,0
Lance Stephenson,18.22,13.33,21.33,0,5.13,27.11,3.85,3.59,0,5.33
Taj Gibson,4.52,1.72,0,12.01,24.34,5.77,0,26.05,0,18.56
Aaron Brooks,10.42,7.12,56.08,0,0,0,6.77,0,0,0
Nene,7.52,6.61,0,16.88,31.01,6.06,0,21.28,0,3.49
Tyler Johnson,11.36,5.05,27.76,0,0,26.81,9.46,3.79,4.42,3.47
Matthew Dellavedova,8.96,3.4,46.68,0,0,23.18,6.03,1.7,2.01,0
Corey Brewer,33.0,2.03,4.63,0,0,32.71,6.66,4.92,6.51,2.32
Ben McLemore,26.21,4.51,8.18,0,0,27.71,6.34,6.01,13.36,1.84
E'Twaun Moore,18.24,3.3,24.84,0,2.42,27.69,9.67,4.84,0,2.64
DeAndre Jordan,7.52,0,0,20.31,7.18,0,0,20.76,0,17.4
Jason Smith,4.58,0,0,40.41,2.38,26.99,0,6.28,3.74,4.58
Frank Kaminsky,6.17,3.86,0,20.52,10.8,33.02,1.7,9.41,2.93,4.78
Lance Thomas,13.14,6.57,5.95,2.46,5.34,39.01,0,8.62,5.75,3.9
Wesley Johnson,20.68,1.88,2.05,5.81,0,41.54,8.55,5.47,5.98,2.22
Joffrey Lauvergne,8.14,3.0,0,24.63,14.13,19.06,0,13.06,0,9.64
Shane Larkin,14.08,6.18,46.98,0,0,12.36,6.32,5.32,0,0
Josh Smith,12.56,12.56,9.3,13.02,4.65,18.59,0,7.91,0,4.96
Marreese Speights,7.02,5.09,0,21.75,8.6,18.95,0,10.18,10.7,10.7
JaMychal Green,8.68,3.31,0,14.83,13.88,17.98,0,15.93,0,17.98
Garrett Temple,31.67,2.25,9.81,0,0,32.48,2.57,4.18,7.88,2.41
Brandon Jennings,18.4,8.49,37.74,0,0,13.81,7.73,0,0,0
Ian Mahinmi,7.83,2.3,0,20.89,10.75,7.99,0,29.65,0,9.06
Mason Plumlee,12.65,5.35,0,20.8,8.64,4.26,0,22.99,0,11.44
Jose Calderon,10.23,2.15,38.06,0,0,22.98,7.72,2.87,7.72,0
Patrick Patterson,10.31,0,0,14.16,2.45,52.8,0,2.62,0,8.57
Zaza Pachulia,4.05,5.59,0,17.88,4.19,9.08,0,31.42,0,15.08
PJ Hairston,18.99,0,8.18,0,0,29.75,5.97,0,5.03,3.77
David Lee,8.7,5.53,0,21.69,11.11,7.11,0,17.0,0,10.67
Luke Babbitt,13.86,4.52,6.93,0,0,43.98,4.82,0,10.84,6.63
Mike Dunleavy,15.35,0,5.7,0,0,28.07,11.84,11.4,17.11,0
Andrea Bargnani,3.67,5.2,0,33.03,4.28,28.75,0,8.56,4.89,6.42
Jared Dudley,20.36,0,0,13.46,0,43.35,0,6.73,5.58,2.96
Greivis Vasquez,9.04,0,31.91,0,0,34.04,7.45,0,0,0
Cody Zeller,11.2,1.98,0,28.83,2.64,11.7,0,19.77,3.79,10.38
