PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Brook Lopez,0.3,0.6,4.2,30.7,2.0,2.9,0.07,0.09
Reggie Jackson,0.5,1.3,11.4,51.5,6.2,8.0,0.12,0.16
Kyle Lowry,0.7,1.1,11.6,65.7,6.4,8.2,0.1,0.13
Jimmy Butler,0.3,1.0,9.7,44.9,4.8,6.1,0.11,0.14
Kawhi Leonard,0.1,0.8,5.0,32.3,2.6,3.6,0.08,0.11
Chris Paul,1.2,1.6,18.4,61.9,10.0,12.7,0.16,0.21
Gordon Hayward,0.5,0.7,8.2,44.9,3.7,4.9,0.08,0.11
Dirk Nowitzki,0.2,0.6,3.6,37.5,1.8,2.5,0.05,0.07
Jahlil Okafor,0.1,0.3,2.7,31.7,1.2,1.7,0.04,0.05
Bradley Beal,0.3,0.8,6.0,31.8,2.9,4.0,0.09,0.13
Khris Middleton,0.6,0.9,7.0,36.1,4.2,5.6,0.12,0.16
