Edin Dzeko,Manchester City,2013-2014,"defensive_0,passing_5,control_5,attack_0",0.9(0.20930232558139536),3.3(0.7674418604651163),1.2(0.3333333333333333),0.2(0.25),3.5(0.6862745098039216)
Vincent Kompany,Manchester City,2013-2014,"defensive_2,passing_2,control_1,attack_3",0.0(0.0),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
David Silva,Manchester City,2013-2014,"defensive_0,passing_4,control_3,attack_5",0.5(0.11627906976744186),1.5(0.3488372093023256),0.1(0.02777777777777778),0.1(0.125),1.7(0.33333333333333337)
Jesús Navas,Manchester City,2013-2014,"defensive_0,passing_4,control_4,attack_5",0.6(0.13953488372093023),1.1(0.2558139534883721),0.1(0.02777777777777778),0.1(0.125),1.4(0.27450980392156865)
Martín Demichelis,Manchester City,2013-2014,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Samir Nasri,Manchester City,2013-2014,"defensive_0,passing_4,control_4,attack_1",0.8(0.186046511627907),0.8(0.186046511627907),0.0(0.0),0.1(0.125),1.6(0.3137254901960785)
Javi García,Manchester City,2013-2014,"defensive_2,passing_3,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Aleksandar Kolarov,Manchester City,2013-2014,"defensive_0,passing_0,control_4,attack_4",1.6(0.372093023255814),0.8(0.186046511627907),0.3(0.08333333333333333),0.0(0.0),1.5(0.29411764705882354)
Bacary Sagna,Manchester City,2016-2017,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Pablo Zabaleta,Manchester City,2016-2017,"defensive_4,passing_5,control_2,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Yaya Touré,Manchester City,2016-2017,"defensive_0,passing_3,control_4,attack_1",0.8(0.186046511627907),0.6(0.13953488372093023),0.2(0.05555555555555556),0.0(0.0),0.7(0.13725490196078433)
Willy Caballero,Manchester City,2016-2017,"defensive_1,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Leroy Sané,Manchester City,2016-2017,"defensive_0,passing_0,control_0,attack_5",0.2(0.04651162790697675),1.4(0.3255813953488372),0.1(0.02777777777777778),0.2(0.25),1.4(0.27450980392156865)
Claudio Bravo,Manchester City,2016-2017,"defensive_1,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Fernandinho,Manchester City,2016-2017,"defensive_4,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.7(0.13725490196078433)
Gaël Clichy,Manchester City,2016-2017,"defensive_2,passing_3,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Nolito,Manchester City,2016-2017,"defensive_0,passing_0,control_4,attack_0",1.3(0.3023255813953489),2.3(0.5348837209302325),0.5(0.1388888888888889),0.0(0.0),2.9(0.5686274509803921)
Nicolás Otamendi,Manchester City,2016-2017,"defensive_2,passing_3,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Kevin De Bruyne,Manchester City,2016-2017,"defensive_0,passing_4,control_4,attack_4",1.7(0.3953488372093023),0.9(0.20930232558139536),0.0(0.0),0.1(0.125),2.1(0.411764705882353)
Vincent Kompany,Manchester City,2016-2017,"defensive_2,passing_3,control_2,attack_3",0.2(0.04651162790697675),0.8(0.186046511627907),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
David Silva,Manchester City,2016-2017,"defensive_0,passing_0,control_4,attack_1",0.6(0.13953488372093023),0.8(0.186046511627907),0.0(0.0),0.0(0.0),1.4(0.27450980392156865)
Jesús Navas,Manchester City,2016-2017,"defensive_4,passing_0,control_4,attack_3",0.3(0.06976744186046512),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
John Stones,Manchester City,2016-2017,"defensive_2,passing_3,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.5(0.1388888888888889),0.0(0.0),0.0(0.0)
Ilkay Gündogan,Manchester City,2016-2017,"defensive_0,passing_0,control_4,attack_5",0.8(0.186046511627907),1.3(0.3023255813953489),0.0(0.0),0.0(0.0),1.9(0.37254901960784315)
Raheem Sterling,Manchester City,2016-2017,"defensive_0,passing_0,control_0,attack_5",0.8(0.186046511627907),1.4(0.3255813953488372),0.1(0.02777777777777778),0.1(0.125),1.9(0.37254901960784315)
Aleksandar Kolarov,Manchester City,2016-2017,"defensive_2,passing_3,control_2,attack_1",0.9(0.20930232558139536),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Sergio Agüero,Manchester City,2016-2017,"defensive_1,passing_5,control_0,attack_0",1.5(0.3488372093023256),3.1(0.7209302325581396),0.4(0.11111111111111112),0.1(0.125),4.4(0.8627450980392158)
Bacary Sagna,Manchester City,2014-2015,"defensive_2,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Pablo Zabaleta,Manchester City,2014-2015,"defensive_4,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Yaya Touré,Manchester City,2014-2015,"defensive_0,passing_3,control_4,attack_4",2.0(0.46511627906976744),1.3(0.3023255813953489),0.1(0.02777777777777778),0.1(0.125),2.6(0.5098039215686275)
Sergio Agüero,Manchester City,2014-2015,"defensive_1,passing_5,control_0,attack_0",1.2(0.27906976744186046),3.8(0.8837209302325582),0.4(0.11111111111111112),0.4(0.5),4.2(0.823529411764706)
Joe Hart,Manchester City,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Frank Lampard,Manchester City,2014-2015,"defensive_0,passing_0,control_4,attack_0",1.1(0.2558139534883721),1.7(0.3953488372093023),0.4(0.11111111111111112),0.2(0.25),2.4(0.47058823529411764)
Fernandinho,Manchester City,2014-2015,"defensive_4,passing_3,control_4,attack_1",0.5(0.11627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.1(0.125),0.6(0.11764705882352941)
James Milner,Manchester City,2014-2015,"defensive_4,passing_0,control_4,attack_5",0.7(0.1627906976744186),1.1(0.2558139534883721),0.3(0.08333333333333333),0.1(0.125),1.7(0.33333333333333337)
Gaël Clichy,Manchester City,2014-2015,"defensive_2,passing_3,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Martín Demichelis,Manchester City,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Edin Dzeko,Manchester City,2014-2015,"defensive_0,passing_5,control_5,attack_0",0.9(0.20930232558139536),3.1(0.7209302325581396),1.3(0.3611111111111111),0.1(0.125),3.5(0.6862745098039216)
Vincent Kompany,Manchester City,2014-2015,"defensive_2,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
David Silva,Manchester City,2014-2015,"defensive_0,passing_0,control_0,attack_5",0.8(0.186046511627907),1.3(0.3023255813953489),0.0(0.0),0.1(0.125),1.6(0.3137254901960785)
Jesús Navas,Manchester City,2014-2015,"defensive_0,passing_4,control_4,attack_5",0.3(0.06976744186046512),1.5(0.3488372093023256),0.0(0.0),0.2(0.25),1.6(0.3137254901960785)
Stevan Jovetic,Manchester City,2014-2015,"defensive_0,passing_0,control_0,attack_0",1.6(0.372093023255814),2.4(0.5581395348837209),0.6(0.16666666666666666),0.1(0.125),3.4(0.6666666666666667)
Samir Nasri,Manchester City,2014-2015,"defensive_0,passing_0,control_4,attack_5",0.7(0.1627906976744186),1.2(0.27906976744186046),0.0(0.0),0.0(0.0),1.7(0.33333333333333337)
Fernando,Manchester City,2014-2015,"defensive_4,passing_3,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Eliaquim Mangala,Manchester City,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.5(0.1388888888888889),0.0(0.0),0.0(0.0)
Aleksandar Kolarov,Manchester City,2014-2015,"defensive_4,passing_4,control_2,attack_1",1.3(0.3023255813953489),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Pablo Zabaleta,Manchester City,2012-2013,"defensive_5,passing_5,control_2,attack_2",0.3(0.06976744186046512),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Yaya Touré,Manchester City,2012-2013,"defensive_1,passing_3,control_4,attack_4",1.3(0.3023255813953489),0.8(0.186046511627907),0.2(0.05555555555555556),0.1(0.125),1.5(0.29411764705882354)
Joleon Lescott,Manchester City,2012-2013,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Sergio Agüero,Manchester City,2012-2013,"defensive_1,passing_0,control_0,attack_0",0.8(0.186046511627907),2.9(0.6744186046511628),0.3(0.08333333333333333),0.4(0.5),3.1(0.607843137254902)
Joe Hart,Manchester City,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Javi García,Manchester City,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.6(0.16666666666666666),0.0(0.0),0.2(0.03921568627450981)
James Milner,Manchester City,2012-2013,"defensive_5,passing_4,control_4,attack_1",0.8(0.186046511627907),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
Gaël Clichy,Manchester City,2012-2013,"defensive_5,passing_3,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Matija Nastasic,Manchester City,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Gareth Barry,Manchester City,2012-2013,"defensive_5,passing_3,control_2,attack_3",0.3(0.06976744186046512),0.4(0.0930232558139535),0.2(0.05555555555555556),0.1(0.125),0.6(0.11764705882352941)
Vincent Kompany,Manchester City,2012-2013,"defensive_3,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
David Silva,Manchester City,2012-2013,"defensive_1,passing_4,control_4,attack_5",0.6(0.13953488372093023),1.1(0.2558139534883721),0.1(0.02777777777777778),0.1(0.125),1.6(0.3137254901960785)
Kolo Touré,Manchester City,2012-2013,"defensive_3,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Samir Nasri,Manchester City,2012-2013,"defensive_1,passing_4,control_4,attack_1",0.5(0.11627906976744186),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Carlos Tévez,Manchester City,2012-2013,"defensive_1,passing_0,control_0,attack_4",1.8(0.4186046511627907),1.9(0.4418604651162791),0.2(0.05555555555555556),0.1(0.125),3.2(0.627450980392157)
Edin Dzeko,Manchester City,2012-2013,"defensive_1,passing_0,control_5,attack_0",1.1(0.2558139534883721),3.0(0.6976744186046512),1.0(0.2777777777777778),0.4(0.5),3.4(0.6666666666666667)
Aleksandar Kolarov,Manchester City,2012-2013,"defensive_5,passing_4,control_2,attack_1",1.6(0.372093023255814),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Pablo Zabaleta,Manchester City,2011-2012,"defensive_5,passing_5,control_1,attack_1",0.4(0.0930232558139535),0.6(0.13953488372093023),0.0(0.0),0.1(0.125),0.8(0.15686274509803924)
Adam Johnson,Manchester City,2011-2012,"defensive_1,passing_0,control_4,attack_5",1.1(0.2558139534883721),1.7(0.3953488372093023),0.0(0.0),0.1(0.125),2.3(0.45098039215686275)
Yaya Touré,Manchester City,2011-2012,"defensive_1,passing_3,control_4,attack_4",1.2(0.27906976744186046),0.9(0.20930232558139536),0.2(0.05555555555555556),0.0(0.0),1.7(0.33333333333333337)
Mario Balotelli,Manchester City,2011-2012,"defensive_5,passing_5,control_0,attack_0",2.6(0.6046511627906977),2.4(0.5581395348837209),0.4(0.11111111111111112),0.3(0.37499999999999994),3.7(0.7254901960784315)
Joleon Lescott,Manchester City,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Sergio Agüero,Manchester City,2011-2012,"defensive_1,passing_0,control_0,attack_0",1.0(0.23255813953488372),3.1(0.7209302325581396),0.2(0.05555555555555556),0.2(0.25),3.8(0.7450980392156863)
Joe Hart,Manchester City,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
James Milner,Manchester City,2011-2012,"defensive_5,passing_0,control_4,attack_1",0.6(0.13953488372093023),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.7(0.13725490196078433)
Gaël Clichy,Manchester City,2011-2012,"defensive_2,passing_3,control_1,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Gareth Barry,Manchester City,2011-2012,"defensive_5,passing_3,control_2,attack_2",0.5(0.11627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Vincent Kompany,Manchester City,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.3(0.08333333333333333),0.0(0.0),0.2(0.03921568627450981)
David Silva,Manchester City,2011-2012,"defensive_1,passing_0,control_4,attack_5",1.0(0.23255813953488372),1.6(0.372093023255814),0.0(0.0),0.1(0.125),2.3(0.45098039215686275)
Kolo Touré,Manchester City,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.3(0.06976744186046512),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.3(0.058823529411764705)
Samir Nasri,Manchester City,2011-2012,"defensive_1,passing_4,control_4,attack_4",1.2(0.27906976744186046),1.1(0.2558139534883721),0.0(0.0),0.1(0.125),1.8(0.35294117647058826)
Micah Richards,Manchester City,2011-2012,"defensive_2,passing_5,control_2,attack_3",0.1(0.023255813953488375),0.7(0.1627906976744186),0.3(0.08333333333333333),0.0(0.0),0.5(0.09803921568627452)
Nigel de Jong,Manchester City,2011-2012,"defensive_5,passing_3,control_1,attack_2",0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Edin Dzeko,Manchester City,2011-2012,"defensive_1,passing_0,control_0,attack_0",1.3(0.3023255813953489),3.7(0.8604651162790699),1.3(0.3611111111111111),0.3(0.37499999999999994),4.5(0.8823529411764707)
Aleksandar Kolarov,Manchester City,2011-2012,"defensive_5,passing_4,control_2,attack_4",2.1(0.48837209302325585),0.7(0.1627906976744186),0.0(0.0),0.1(0.125),1.4(0.27450980392156865)
Pablo Zabaleta,Manchester City,2010-2011,"defensive_5,passing_5,control_2,attack_1",0.4(0.0930232558139535),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Adam Johnson,Manchester City,2010-2011,"defensive_1,passing_0,control_4,attack_4",1.2(0.27906976744186046),0.9(0.20930232558139536),0.0(0.0),0.2(0.25),1.5(0.29411764705882354)
Yaya Touré,Manchester City,2010-2011,"defensive_1,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.8(0.186046511627907),0.2(0.05555555555555556),0.2(0.25),1.0(0.19607843137254904)
Mario Balotelli,Manchester City,2010-2011,"defensive_5,passing_5,control_0,attack_4",1.6(0.372093023255814),1.9(0.4418604651162791),0.7(0.19444444444444442),0.0(0.0),2.5(0.4901960784313726)
Joleon Lescott,Manchester City,2010-2011,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Joe Hart,Manchester City,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
James Milner,Manchester City,2010-2011,"defensive_5,passing_4,control_0,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Edin Dzeko,Manchester City,2010-2011,"defensive_1,passing_5,control_0,attack_0",1.4(0.3255813953488372),1.9(0.4418604651162791),0.6(0.16666666666666666),0.4(0.5),2.7(0.5294117647058825)
Vincent Kompany,Manchester City,2010-2011,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
David Silva,Manchester City,2010-2011,"defensive_1,passing_0,control_4,attack_5",0.8(0.186046511627907),1.3(0.3023255813953489),0.0(0.0),0.0(0.0),1.8(0.35294117647058826)
Kolo Touré,Manchester City,2010-2011,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0)
Micah Richards,Manchester City,2010-2011,"defensive_2,passing_5,control_2,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.3(0.058823529411764705)
Nigel de Jong,Manchester City,2010-2011,"defensive_5,passing_3,control_4,attack_2",0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Carlos Tévez,Manchester City,2010-2011,"defensive_1,passing_0,control_0,attack_0",1.3(0.3023255813953489),2.7(0.6279069767441862),0.0(0.0),0.4(0.5),3.1(0.607843137254902)
Gareth Barry,Manchester City,2010-2011,"defensive_5,passing_3,control_4,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Jérôme Boateng,Manchester City,2010-2011,"defensive_5,passing_2,control_1,attack_2",0.6(0.13953488372093023),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Aleksandar Kolarov,Manchester City,2010-2011,"defensive_2,passing_4,control_3,attack_4",2.3(0.5348837209302325),0.3(0.06976744186046512),0.0(0.0),0.1(0.125),1.6(0.3137254901960785)
Bacary Sagna,Manchester City,2015-2016,"defensive_2,passing_0,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Pablo Zabaleta,Manchester City,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Yaya Touré,Manchester City,2015-2016,"defensive_0,passing_3,control_4,attack_4",1.9(0.4418604651162791),1.1(0.2558139534883721),0.3(0.08333333333333333),0.0(0.0),2.2(0.4313725490196079)
Sergio Agüero,Manchester City,2015-2016,"defensive_1,passing_5,control_0,attack_0",0.9(0.20930232558139536),3.2(0.744186046511628),0.4(0.11111111111111112),0.1(0.125),3.6(0.7058823529411765)
Joe Hart,Manchester City,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Wilfried Bony,Manchester City,2015-2016,"defensive_1,passing_5,control_5,attack_0",1.0(0.23255813953488372),3.2(0.744186046511628),1.6(0.4444444444444445),0.1(0.125),3.1(0.607843137254902)
Fernandinho,Manchester City,2015-2016,"defensive_4,passing_3,control_4,attack_3",0.5(0.11627906976744186),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.5(0.09803921568627452)
Kelechi Iheanacho,Manchester City,2015-2016,"defensive_0,passing_0,control_0,attack_4",1.6(0.372093023255814),1.4(0.3255813953488372),0.1(0.02777777777777778),0.0(0.0),3.2(0.627450980392157)
Gaël Clichy,Manchester City,2015-2016,"defensive_4,passing_3,control_1,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Nicolás Otamendi,Manchester City,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.5(0.1388888888888889),0.0(0.0),0.2(0.03921568627450981)
Martín Demichelis,Manchester City,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Kevin De Bruyne,Manchester City,2015-2016,"defensive_0,passing_4,control_4,attack_4",1.2(0.27906976744186046),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.8(0.35294117647058826)
Vincent Kompany,Manchester City,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.7(0.1627906976744186),0.7(0.19444444444444442),0.0(0.0),0.0(0.0)
David Silva,Manchester City,2015-2016,"defensive_0,passing_4,control_3,attack_1",0.7(0.1627906976744186),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Jesús Navas,Manchester City,2015-2016,"defensive_0,passing_0,control_4,attack_1",0.3(0.06976744186046512),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Fernando,Manchester City,2015-2016,"defensive_4,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Raheem Sterling,Manchester City,2015-2016,"defensive_0,passing_0,control_0,attack_5",0.7(0.1627906976744186),1.6(0.372093023255814),0.1(0.02777777777777778),0.0(0.0),2.2(0.4313725490196079)
Fabian Delph,Manchester City,2015-2016,"defensive_4,passing_2,control_4,attack_1",1.4(0.3255813953488372),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Eliaquim Mangala,Manchester City,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Aleksandar Kolarov,Manchester City,2015-2016,"defensive_2,passing_0,control_2,attack_1",1.0(0.23255813953488372),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
James Tomkins,Crystal Palace,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Andros Townsend,Crystal Palace,2016-2017,"defensive_4,passing_4,control_0,attack_4",1.5(0.3488372093023256),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Damien Delaney,Crystal Palace,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Steve Mandanda,Crystal Palace,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Christian Benteke,Crystal Palace,2016-2017,"defensive_1,passing_5,control_5,attack_5",0.3(0.06976744186046512),2.2(0.5116279069767442),1.4(0.38888888888888884),0.0(0.0),1.8(0.35294117647058826)
Yohan Cabaye,Crystal Palace,2016-2017,"defensive_4,passing_4,control_4,attack_1",0.8(0.186046511627907),0.8(0.186046511627907),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Jeffrey Schlupp,Crystal Palace,2016-2017,"defensive_4,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
James McArthur,Crystal Palace,2016-2017,"defensive_4,passing_5,control_4,attack_3",0.4(0.0930232558139535),0.7(0.1627906976744186),0.4(0.11111111111111112),0.0(0.0),0.7(0.13725490196078433)
Wilfried Zaha,Crystal Palace,2016-2017,"defensive_0,passing_5,control_0,attack_1",0.2(0.04651162790697675),1.2(0.27906976744186046),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Luka Milivojevic,Crystal Palace,2016-2017,"defensive_2,passing_2,control_2,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Jason Puncheon,Crystal Palace,2016-2017,"defensive_0,passing_4,control_4,attack_1",0.9(0.20930232558139536),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Martin Kelly,Crystal Palace,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0)
Wayne Hennessey,Crystal Palace,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Joe Ledley,Crystal Palace,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Patrick van Aanholt,Crystal Palace,2016-2017,"defensive_2,passing_5,control_1,attack_1",0.6(0.13953488372093023),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Joel Ward,Crystal Palace,2016-2017,"defensive_2,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Scott Dann,Crystal Palace,2016-2017,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),1.0(0.23255813953488372),1.0(0.2777777777777778),0.0(0.0),0.1(0.019607843137254905)
Julian Speroni,Crystal Palace,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Damien Delaney,Crystal Palace,2014-2015,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Brede Hangeland,Crystal Palace,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Glenn Murray,Crystal Palace,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.2(0.04651162790697675),2.6(0.6046511627906977),1.0(0.2777777777777778),0.0(0.0),2.5(0.4901960784313726)
Dwight Gayle,Crystal Palace,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.7(0.3953488372093023),0.2(0.05555555555555556),0.0(0.0),1.7(0.33333333333333337)
James McArthur,Crystal Palace,2014-2015,"defensive_4,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.7(0.13725490196078433)
Fraizer Campbell,Crystal Palace,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.5(0.11627906976744186),0.9(0.20930232558139536),0.6(0.16666666666666666),0.0(0.0),1.4(0.27450980392156865)
