Stefano Sorrentino,Palermo,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Josip Ilicic,Palermo,2012-2013,"defensive_1,passing_0,control_0,attack_4",2.1(0.48837209302325585),1.2(0.27906976744186046),0.0(0.0),0.3(0.37499999999999994),2.6(0.5098039215686275)
Samir Ujkani,Palermo,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ezequiel Muñoz,Palermo,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.0(0.0)
Michel Morganella,Palermo,2012-2013,"defensive_5,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Edgar Barreto,Palermo,2012-2013,"defensive_5,passing_0,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.7(0.13725490196078433)
Massimo Donati,Palermo,2012-2013,"defensive_2,passing_3,control_2,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Steve Von Bergen,Palermo,2012-2013,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Andrea Dossena,Palermo,2012-2013,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.0(0.0),0.1(0.125),0.3(0.058823529411764705)
Paulo Dybala,Palermo,2012-2013,"defensive_1,passing_0,control_0,attack_5",0.9(0.20930232558139536),1.4(0.3255813953488372),0.1(0.02777777777777778),0.3(0.37499999999999994),1.7(0.33333333333333337)
Egidio Arévalo Ríos,Palermo,2012-2013,"defensive_5,passing_3,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Franco Brienza,Palermo,2012-2013,"defensive_1,passing_0,control_0,attack_1",0.8(0.186046511627907),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Fabrizio Miccoli,Palermo,2012-2013,"defensive_1,passing_4,control_4,attack_0",2.9(0.6744186046511628),2.3(0.5348837209302325),0.1(0.02777777777777778),0.6(0.7499999999999999),2.6(0.5098039215686275)
Salvatore Aronica,Palermo,2012-2013,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Santiago García,Palermo,2012-2013,"defensive_2,passing_5,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.3(0.08333333333333333),0.1(0.125),0.2(0.03921568627450981)
Cristian Zenoni,Bologna,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Francesco Valiani,Bologna,2009-2010,"defensive_5,passing_5,control_3,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.1(0.125),0.7(0.13725490196078433)
Adailton,Bologna,2009-2010,"defensive_1,passing_4,control_3,attack_4",2.4(0.5581395348837209),0.9(0.20930232558139536),0.1(0.02777777777777778),0.3(0.37499999999999994),1.5(0.29411764705882354)
Marcelo Zalayeta,Bologna,2009-2010,"defensive_1,passing_0,control_3,attack_1",0.3(0.06976744186046512),1.0(0.23255813953488372),0.2(0.05555555555555556),0.1(0.125),0.9(0.17647058823529413)
Andrea Raggi,Bologna,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Emiliano Viviano,Bologna,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Gaby Mudingayi,Bologna,2009-2010,"defensive_5,passing_2,control_3,attack_1",1.0(0.23255813953488372),0.0(0.0),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Nicola Mingazzini,Bologna,2009-2010,"defensive_5,passing_4,control_3,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Federico Casarini,Bologna,2009-2010,"defensive_5,passing_5,control_1,attack_2",0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Vangelis Moras,Bologna,2009-2010,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Miguel Britos,Bologna,2009-2010,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Roberto Guana,Bologna,2009-2010,"defensive_5,passing_3,control_1,attack_2",0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Marco Di Vaio,Bologna,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.2(0.27906976744186046),1.7(0.3953488372093023),0.3(0.08333333333333333),0.3(0.37499999999999994),2.1(0.411764705882353)
Salvatore Lanna,Bologna,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Antonio Buscé,Bologna,2009-2010,"defensive_1,passing_5,control_1,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Francesco Modesto,Bologna,2009-2010,"defensive_1,passing_5,control_3,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Daniele Portanova,Bologna,2009-2010,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Erick Pulgar,Bologna,2016-2017,"defensive_4,passing_3,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.8(0.15686274509803924)
Blerim Dzemaili,Bologna,2016-2017,"defensive_4,passing_5,control_0,attack_4",1.4(0.3255813953488372),0.7(0.1627906976744186),0.1(0.02777777777777778),0.1(0.125),1.5(0.29411764705882354)
Marios Oikonomou,Bologna,2016-2017,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Adam Masina,Bologna,2016-2017,"defensive_4,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
