CoachA,CoachB,relationship
Lionel Hollins,Bill Fitch,player
Lionel Hollins,Chuck Daly,player
Don Nelson,Red Auerbach,player
Don Nelson,Bill Russell,player
Don Nelson,Tom Heinsohn,player
Don Nelson,Fred Schaus,player
Don Nelson,Jack McMahon,player
Don Nelson,Slick Leonard,player
Bill Cartwright,Red Holzman,player
Bill Cartwright,Hubie Brown,player
Bill Cartwright,Bob Hill,player
Bill Cartwright,Rick Pitino,player
Bill Cartwright,Doug Collins,player
Bill Cartwright,Phil Jackson,player
Bill Cartwright,George Karl,player
Phil Jackson,Kevin Loughery,player
Phil Jackson,Willis Reed,player
Phil Jackson,Dick McGuire,player
Phil Jackson,Red Holzman,player
Avery Johnson,Bernie Bickerstaff,player
Avery Johnson,Paul Westhead,player
Avery Johnson,Larry Brown,player
Avery Johnson,Bob Bass,player
Avery Johnson,Don Chaney,player
Avery Johnson,Rudy Tomjanovich ,player
Avery Johnson,John Lucas,player
Avery Johnson,Don Nelson,player
Avery Johnson,Bob Hill,player
Avery Johnson,Greg Popovich,player
Avery Johnson,Dan Issel,player
Avery Johnson,Eric Musselman,player
Scott Skiles,Don Nelson,player
Scott Skiles,Jack Ramsay,player
Scott Skiles,George Irvine,player
Scott Skiles,Dick Versace,player
Scott Skiles,Matt Guokas,player
Scott Skiles,Brian Hill,player
Scott Skiles,Jim Lynam,player
Scott Skiles,John Lucas,player
K.C. Jones,Red Auerbach,player
K.C. Jones,Bill Russell,player
Matt Guokas,Alex Hannum,player
Matt Guokas,Jack Ramsay,player
Matt Guokas,Dick Motta,player
Matt Guokas,Bob Cousy,player
Matt Guokas,Phil Johnson,player
Matt Guokas,Johnny Egan,player
Matt Guokas,Jack Ramsay,player
Maurice Cheeks,Billy Cunningham,player
Maurice Cheeks,Matt Guokas,player
Maurice Cheeks,Jim Lynam,player
Maurice Cheeks,Larry Brown,player
Maurice Cheeks,Stu Jackson,player
Maurice Cheeks,John MacLeod,player
Maurice Cheeks,Bob Weiss,player
Maurice Cheeks,Chuck Daly,player
Joe Mullaney,Alvin Julian,player
Doug Moe,Al Bianchi,player
Doug Moe,Bones McKinney,player
Doug Moe,Alex Hannum,player
Doug Moe,Babe McCarthy,player
Bob Weiss,Dolph Schayes,player
Bob Weiss,Alex Hannum,player
Bob Weiss,Al Bianchi,player
Bob Weiss,Larry Costello,player
Bob Weiss,Dick Motta,player
Bob Weiss,Jack Ramsay,player
Byron Scott,Pat Riley,player
Byron Scott,Mike Dunleavy,player
Byron Scott,Randy Pfund,player
Byron Scott,Larry Brown,player
Byron Scott,Brian Winters,player
Byron Scott,Del Harris,player
Jim Cleamons,Bill Sharman,player
Jim Cleamons,Bill Fitch,player
Jim Cleamons,Willis Reed,player
Jim Cleamons,Red Holzman,player
Jim Cleamons,Dick Motta,player
Danny Ainge,Bill Fitch,player
Danny Ainge,K.C. Jones,player
Danny Ainge,Jimmy Rodgers,player
Danny Ainge,Jerry Reynolds,player
Danny Ainge,Dick Motta,player
Danny Ainge,Rick Adelman,player
Danny Ainge,Paul Westphal,player
John Wetzel,Butch Van Breda Kolff,player
John Wetzel,Cotton Fitzsimmons,player
John Wetzel,John MacLeod,player
Fred Carter,Gene Shue,player
Fred Carter,Jack Ramsay,player
Fred Carter,Larry Costello,player
Fred Carter,Don Nelson,player
Chris Ford,Ray Scott,player
Chris Ford,Dick Vital,player
Chris Ford,Dave Cowens,player
Chris Ford,Bill Fitch,player
Gene Shue,Slick Leonard,player
Gene Shue,Eddie Donovan,player
Gene Shue,Charles Eckman,player
Gene Shue,Red Rocha,player
Gene Shue,Dick McGuire,player
Vinny Del Negro,Garry St. Jean,player
Vinny Del Negro,Jerry Reynolds,player
Vinny Del Negro,Dick Motta,player
Vinny Del Negro,George Karl,player
Vinny Del Negro,Dave Cowens,player
Vinny Del Negro,Scott Skiles,player
Vinny Del Negro,Frank Johnson,player
Billy Cunningham,Dolph Schayes,player
Billy Cunningham,Jack Ramsay,player
Billy Cunningham,Alex Hannum,player
Billy Cunningham,Gene Shue,player
Billy Cunningham,Larry Brown,player
